"primary_key","object_id","product_family_id","product_family_name","product_family_number","laststreameddate","itemref","batch_number","material","sample_id","analysis","measurement","itemcondition","time_point","display_result","entered_result","units","limit_type_id","coa_limit","verification_status","smd_reference","site","manufacture_site"
"01968265-dd3a-7ecf-97ba-98a42721ed68-01969156-7a05-754a-9211-eb54013e71e3-123-230164316426||||||||NO LIMIT||","01969156-7a05-754a-9211-eb54013e71e3","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-09 00:00:00.000,"230164316426||||||||NO LIMIT||","944220","307511-BIO","90031473",IC ENDTOX SAMPLE,CV,"5°C/25°C/60%RH","0 months",,,%,"",NO LIMIT,Pass,,Cork_API-L,Cork_API-L
"01968265-dd3a-7ecf-97ba-98a42721ed68-01969156-83a5-728b-aa76-b9217b4e1eff-123-230164316434|GLO|SPEC-00014195|24|<=|0.14|||<=0.14||PASS","01969156-83a5-728b-aa76-b9217b4e1eff","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-09 00:00:00.000,"230164316434|GLO|SPEC-00014195|24|<=|0.14|||<=0.14||PASS","944220","307511-BIO","90031473",IC ENDTOX SAMPLE,Endotoxin,"5°C/25°C/60%RH","0 months","0.02","0.0180753968",EU/mg,GLO,<=0.14,Pass,"TV-SPEC-16223, DS-SPE-24449",Cork_API-L,Cork_API-L
"01968265-dd3a-7ecf-97ba-98a42721ed68-01969156-89ef-74f6-8509-e6c1f65a1099-123-230164316422|INH|SPEC-00014195|24|=|10|||>=10 <=10||","01969156-89ef-74f6-8509-e6c1f65a1099","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-09 00:00:00.000,"230164316422|INH|SPEC-00014195|24|=|10|||>=10 <=10||","944220","307511-BIO","90031473",BIOBURDEN,"10 TSA MF","5°C/25°C/60%RH","0 months",,,mL,INH,>=10 <=10,Pass,"TV-SPEC-16223, DS-SPE-24449",Cork_API-L,Cork_API-L
"01968265-dd3a-7ecf-97ba-98a42721ed68-01969156-8cbe-75f4-a18d-8eebb810566d-123-190102835197|INH|SPEC-00013823|16|In|PASS|||||PASS","01969156-8cbe-75f4-a18d-8eebb810566d","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-09 00:00:00.000,"190102835197|INH|SPEC-00013823|16|In|PASS|||||PASS","944220","307511-BIO","19970933",IC TOC SAMPLE CV1,Ref Evaluation Pass-Fail,"5°C/25°C/60%RH","0 months",Pass,Pass,,INH,"",Pass,"TV-TEC-59102, TV-TEC-67340",Cork_API-L,Cork_API-L
"01968265-dd3a-7ecf-97ba-98a42721ed68-01969156-8e65-7c21-9a79-bcf4873d6b2b-123-230164316424|GLO|SPEC-00014195|24|<=|10|||<=10||PASS","01969156-8e65-7c21-9a79-bcf4873d6b2b","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-09 00:00:00.000,"230164316424|GLO|SPEC-00014195|24|<=|10|||<=10||PASS","944220","307511-BIO","90031473",BIOBURDEN,Bioburden,"5°C/25°C/60%RH","0 months","0","0",CFU/10mL,GLO,<=10,Pass,"TV-SPEC-16223, DS-SPE-24449",Cork_API-L,Cork_API-L
"01968265-dd3a-7ecf-97ba-98a42721ed68-01969156-91db-7b85-9304-1e9abf3575d9-123-230164316434||||||||<=0.14||PASS","01969156-91db-7b85-9304-1e9abf3575d9","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-09 00:00:00.000,"230164316434||||||||<=0.14||PASS","944220","307511-BIO","90031473",IC ENDTOX SAMPLE,Endotoxin,"5°C/25°C/60%RH","0 months","0.02","0.0180753968",EU/mg,"",<=0.14,Pass,,Cork_API-L,Cork_API-L
"01968265-dd3a-7ecf-97ba-98a42721ed68-01969156-93ac-7c1a-9a79-9634c092d21d-123-190102536403|GLO|SPEC-00013823|15|<=|1.00|||<=1.00||PASS","01969156-93ac-7c1a-9a79-9634c092d21d","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-09 00:00:00.000,"190102536403|GLO|SPEC-00013823|15|<=|1.00|||<=1.00||PASS","944220","307511-BIO","19970803",TOC 1,TOC (Swab),"5°C/25°C/60%RH","0 months","0.30","0.3000",ppm,GLO,<=1.00,Pass,"TV-TEC-59102, TV-TEC-67340",Cork_API-L,Cork_API-L
"01968265-dd3a-7ecf-97ba-98a42721ed68-01969156-9705-7764-b7ab-6227c296aa34-123-230164316422||||||||>=10 <=10||","01969156-9705-7764-b7ab-6227c296aa34","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-09 00:00:00.000,"230164316422||||||||>=10 <=10||","944220","307511-BIO","90031473",BIOBURDEN,"10 TSA MF","5°C/25°C/60%RH","0 months",,,mL,"",>=10 <=10,Pass,,Cork_API-L,Cork_API-L
"01968265-dd3a-7ecf-97ba-98a42721ed68-01969156-9da0-774b-b91d-ce0c50ced57f-123-230164316429||||||||REPORT RESULTS||PASS","01969156-9da0-774b-b91d-ce0c50ced57f","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-09 00:00:00.000,"230164316429||||||||REPORT RESULTS||PASS","944220","307511-BIO","90031473",IC ENDTOX SAMPLE,A280 Sample Ref,"5°C/25°C/60%RH","0 months","90031478","90031478",,"",REPORT RESULTS,Pass,,Cork_API-L,Cork_API-L
"01968265-dd3a-7ecf-97ba-98a42721ed68-01969156-9e86-7d3e-82db-122cdda4b1ce-123-190102845299|GLO|SPEC-00013823|16|<=|1.00|||<=1.00||PASS","01969156-9e86-7d3e-82db-122cdda4b1ce","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-09 00:00:00.000,"190102845299|GLO|SPEC-00013823|16|<=|1.00|||<=1.00||PASS","944220","307511-BIO","19970813",IC TOC SAMPLE CV1,TOC (Swab),"5°C/25°C/60%RH","0 months","0.32","0.324",ppm,GLO,<=1.00,Pass,"TV-TEC-59102, TV-TEC-67340",Cork_API-L,Cork_API-L
"01968265-dd3a-7ecf-97ba-98a42721ed68-01969156-a007-757e-b531-beec2757fa7e-123-190102784161|GLO|SPEC-00012841|24|<=|200|||<=200||PASS","01969156-a007-757e-b531-beec2757fa7e","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-09 00:00:00.000,"190102784161|GLO|SPEC-00012841|24|<=|200|||<=200||PASS","944220","307511-BIO","90015363",BIOBURDEN 5,Bioburden,"5°C/25°C/60%RH","0 months","0","0",CFU/10ml,GLO,<=200,Pass,,Cork_API-L,Cork_API-L
"01968265-dd3a-7ecf-97ba-98a42721ed68-01969156-a18f-7892-a74f-7c84defd5369-123-190102607323|GLO|SPEC-00012841|24|<=|200|||<=200||PASS","01969156-a18f-7892-a74f-7c84defd5369","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-09 00:00:00.000,"190102607323|GLO|SPEC-00012841|24|<=|200|||<=200||PASS","944220","307511-BIO","90000683",BIOBURDEN 5,Bioburden,"5°C/25°C/60%RH","0 months","0","0",CFU/10ml,GLO,<=200,Pass,,Cork_API-L,Cork_API-L
