"primary_key","object_id","product_family_id","product_family_name","product_family_number","laststreameddate","itemref","spec_id","version","product_or_material_description","version_status","spec_name","notes","common","local_ref","create_by","approved_by","approval_reason","smd_reference","make_current","analysis","measurement","concatenate_cqa","limit_type_id","limit_1","limit_2","units","stability"
"01968265-dd3a-7ecf-97ba-98a42721ed68-019276a4-871d-7204-abf0-d793e96991b4-123-Spec-00040113|24|15N|PEPTIDE MAPPING : Component 15|CHAR|>|-99999|||%","019276a4-871d-7204-abf0-d793e96991b4","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-12 00:00:00.000,Spec-00040113|24|15N|PEPTIDE MAPPING : Component 15|CHAR|>|-99999|||%,Spec-00040113,"24",JNJ-61186372 AMIVANTAMAB SUBCUTANEOUS GEN2 PPQ AND POST-PPQ DRUG PRODUCT,A,SPECIFICATIONS AND JUSTIFICATION OF SPECIFICATIONS FOR JNJ-61186372 AMIVANTAMAB SUBCUTANEOUS GEN2 PPQ AND POST-PPQ DRUG PRODUCT - RELEASE - (SC),"15-Aug-2024 tlinack (SC) - Update of specification for commercial purpose as per ETS 2365185
1. Added Inhouse Reference to GLO + CHAR + IPC Limit Type
2. Added GLO 1, CHAR 1, IPC 1, ALERT and CLIN, CHAR 2, IPC 2 Limit Types
3. Added references on the INH Limit Type
4. Removed limits according to TV-SPEC-67180 v3.0 from the INH Limit Type
5. Updated WS on BIOBURDEN 1
6. Updated CoA Translation on IC COLOR INST SAMPLE (v2) 1NC 3TC 3T 3L, result EP-B rep + result EP-BY rep + result EP-Y rep
7. Updated Threshold as per provided Supplemental Info on SUCROSE (v1) 1N, but not on SE-HPLC (v1) 3N 1LIST 1, because this is not in alignment with site request
8. Updated unit on POLYSORBATE 80 (v1) 1N to ""% (w/v)""
NOTE: POLYSORBATE 80 (v1) 1N and SUCROSE (v1) 1N were set up with ""% (w/v)"" for all limit type per guidance of QC. This unit was chosen because this is the unit which is used in the COMM lab spec and in the TMDs. QC did't want to have an extra Parameter list with only ""%"" for CLIN and or PPQ purpose.
9. Updated CoA Translation and or CoA Group and or CoA Limit Text as per TV-SPEC-69985 v1.0 (GLO 1&CHAR 1) required, and added extended CoA Information as per TV-SPEC-67180 v3.0 (GLO&CHAR) and  TV-SPEC-66430 v5.0 (CLIN%CHAR2) as needed on following PL:
-POLYSORBATE 80 (v1) 1N
-PARTICULATE MATTER (v1) CNTO4424 1LIST
-PARTICULATE MATTER 7 (v1) 1LIST
-MDI 3RUN 10 25 70 C (v1) 2DATE 37N 15NC
-IC SUBVIS 11 (v1) 3N 8NC 5DATE 1T 1L
-IC A280 SAMPLE (v1) 6N 4NC
-PH20 ACTIVITY (v1) 1N
-CSDS REDUCED (v1) CNTO4424 2N 1LIST
-CSDS NON-REDUCED (v1) 1N 1LIST 2
-PEPTIDE MAPPING 1 (v1) 5N

NOTE:
PARTICULATE MATTER (v1) CNTO4424 1LIST + IC VFP STG1+ IC VFP STG2.1 + IC VFP STG3.1 is in use for 10mL 
PARTICULATE MATTER 7 (v1) 1LIST + IC VFP STG1 A+ IC VFP STG2.1 A + IC VFP STG3.1 A is in use for 14 mL and 15 mL
PARTICULATE MATTER 8 (v1) 1LIST + IC VFP STG1 B+ IC VFP STG2.1 B + IC VFP STG3.1 B is in use for 22mL",,,tlinack,lwerner3,ETS 2365185/  2365189,"TV-SPEC-67180, TV-SPEC-70238, TV-TEC-250649, TV-SPEC-66430, TV-SPEC-69985, TV-SPEC-54413, TV-SPEC-61505",Mon Sep 02 06:00:00 EDT 2024,PEPTIDE MAPPING,Component 15,PEPTIDE MAPPING : Component 15,CHAR,> -99999,,%,F
"01968265-dd3a-7ecf-97ba-98a42721ed68-019276a4-cfe0-79ce-9249-466091e37249-123-Spec-00024378|10|25N|OLIGOSACCHARIDE MAP : Component 15|CHAR|>|-99999|||%","019276a4-cfe0-79ce-9249-466091e37249","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-12 00:00:00.000,Spec-00024378|10|25N|OLIGOSACCHARIDE MAP : Component 15|CHAR|>|-99999|||%,Spec-00024378,"10",JNJ-61186372 (CNTO 4424) 50 mg/mL Formulated Bulk,A,Specification and Justification of Specifications for Clinical JNJ-61186372 (CNTO 4424) 50 mg/mL Formulated Bulk (Global MM# 309278),"TASK000017288742 amchugh2 01MAR19  > Updated SMD Version to 2.0  >Added POLYSORBATE (v1) 1 PCT, SUBUNIT LCMS (v1) 1TEXT, GLYCATION ANALYSIS (v1) 1TEXT & FREE THIOL (v1) 1TEXT  > Updated CIEF (v1) 9N 1LIST 4, CSDS REDUCED (v1) CNTO4424 2N 1LIST, HI HPLC (v1) 3N & SE-HPLC (v1) 3N  > Updated CoA Group & CoA Translation for OD280 C 1 (v1) 5N 3NC   > Update CoA Translation BIOASSAY 1 2N  ",,,amchugh2,loconno5,,"TV-SPEC-50156, DS-SPE-34672",Mon Apr 08 11:48:45 EDT 2019,OLIGOSACCHARIDE MAP,Component 15,OLIGOSACCHARIDE MAP : Component 15,CHAR,> -99999,,%,F
"01968265-dd3a-7ecf-97ba-98a42721ed68-019276a4-d5a5-719e-9cbf-0cfa2213e6ee-123-Spec-00040113|11|15N|PEPTIDE MAPPING : Component 15|CHAR|>|-99999|||%","019276a4-d5a5-719e-9cbf-0cfa2213e6ee","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-12 00:00:00.000,Spec-00040113|11|15N|PEPTIDE MAPPING : Component 15|CHAR|>|-99999|||%,Spec-00040113,"11",JNJ-61186372 AMIVANTAMAB SUBCUTANEOUS GEN2 PPQ AND POST-PPQ DRUG PRODUCT,A,SPECIFICATIONS AND JUSTIFICATION OF SPECIFICATIONS FOR JNJ-61186372 AMIVANTAMAB SUBCUTANEOUS GEN2 PPQ AND POST-PPQ DRUG PRODUCT - RELEASE - (SC),"sshank28 (GVW) - 15/Mar/2024 - Schaffhausen - Update of specification report.
1. Updated Specification Name and Description.
2. Updated SMD Reference from TV-SPEC-67180 v1.0, TV-VAL-256281 v2.0 to TV-SPEC-67180 v2.0, TV-VAL-256281 v2.0 for Limit Type INH.
3. Updated SMD Reference from TV-SPEC-67180 v1.0 to TV-SPEC-67180 v2.0 for Limit Types GLO and CHAR.
4. Updated CoA Translation for parameter lists PARTICULATE MATTER and PARTICULATE MATTER 7.
5. Updated Method Reference for parameter lists BIOASSAY 15 and BIOASSAY.",,,sshank28,tlinack,TV-SPEC-67180 v2.0,"TV-SPEC-67180, TV-SPEC-70238, TV-TEC-250649, TV-SPEC-66430, TV-SPEC-69985, TV-SPEC-54413, TV-SPEC-61505",Fri Mar 22 06:00:00 EDT 2024,PEPTIDE MAPPING,Component 15,PEPTIDE MAPPING : Component 15,CHAR,> -99999,,%,F
"01968265-dd3a-7ecf-97ba-98a42721ed68-019276a4-d631-7d9a-8eb8-5b74e5888e02-123-Spec-00040113|19|15N|PEPTIDE MAPPING : Component 15|CHAR|>|-99999|||%","019276a4-d631-7d9a-8eb8-5b74e5888e02","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-12 00:00:00.000,Spec-00040113|19|15N|PEPTIDE MAPPING : Component 15|CHAR|>|-99999|||%,Spec-00040113,"19",JNJ-61186372 AMIVANTAMAB SUBCUTANEOUS GEN2 PPQ AND POST-PPQ DRUG PRODUCT,A,SPECIFICATIONS AND JUSTIFICATION OF SPECIFICATIONS FOR JNJ-61186372 AMIVANTAMAB SUBCUTANEOUS GEN2 PPQ AND POST-PPQ DRUG PRODUCT - RELEASE - (SC),"MVarghee (GVW) - 01/Jul/2024 - CC 2358213 - Update of Specification report as per LCRF.
1. Updated Threshold Limit, Operator and Threshold Value 1 for parameter Component 1 of parameter list SE-HPLC. 
2. Updated Threshold Limits and Threshold Value 1 for parameter Component 2 and Component 3 of parameter list SE-HPLC.",,,MVarghee,lwerner3,update according to CC 2358213 and LCRF,"TV-SPEC-67180, TV-SPEC-70238, TV-TEC-250649, TV-SPEC-66430, TV-SPEC-69985, TV-SPEC-54413, TV-SPEC-61505",Mon Jul 08 10:28:11 EDT 2024,PEPTIDE MAPPING,Component 15,PEPTIDE MAPPING : Component 15,CHAR,> -99999,,%,F
"01968265-dd3a-7ecf-97ba-98a42721ed68-019276a4-d780-79e0-9284-3bccd653fb4c-123-Spec-00040098|14|15N|PEPTIDE MAPPING : Component 15|CHAR|>|-99999|||%","019276a4-d780-79e0-9284-3bccd653fb4c","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-12 00:00:00.000,Spec-00040098|14|15N|PEPTIDE MAPPING : Component 15|CHAR|>|-99999|||%,Spec-00040098,"14",JNJ-61186372 AMIVANTAMAB SUBCUTANEOUS GEN2 PPQ AND POST-PPQ DRUG PRODUCT - STAB,A,SPECIFICATIONS AND JUSTIFICATION OF SPECIFICATIONS FOR JNJ-61186372 AMIVANTAMAB SUBCUTANEOUS GEN2 PPQ AND POST-PPQ DRUG PRODUCT - STAB,"19APR2024 RISU (GQS) Updated GLO and CHAR limits and method references and worklist for  BIOASSAY (v1) 2N per site LCRF. and adjusted references and limits for IC BIOASSAY SAC ST1 (v1) 1LIST 13N 1NC, IC BIOASSAY SAC ST2 (v1) 1LIST 11N 14NC accordingly to keep alignment TV-SPEC-67180 v2.0",,,RSuidgee,WVeen1,,TV-SPEC-67180,Fri Apr 19 11:30:14 EDT 2024,PEPTIDE MAPPING,Component 15,PEPTIDE MAPPING : Component 15,CHAR,> -99999,,%,T
"01968265-dd3a-7ecf-97ba-98a42721ed68-019276a5-7575-7f44-a7b5-cc51cd57f141-123-Spec-00026801|2|8N 14NC|DIL HIC REAGENTS : Component 15|INH|>=|10.0|||UL","019276a5-7575-7f44-a7b5-cc51cd57f141","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-12 00:00:00.000,Spec-00026801|2|8N 14NC|DIL HIC REAGENTS : Component 15|INH|>=|10.0|||UL,Spec-00026801,"2",SPECIFICATION FOR LME: EL-LB-HICHPLC-CNTO4424,A,SPECIFICATION FOR LME: EL-LB-HICHPLC-CNTO4424,"16-Apr-2021 - nsubhakd(GVW) - CC#1545784- Update to the spec   1. Updated Spec name and description  2. Added Parameter List ID DIL HIC REAGENTS  -8N 14NC",,,nsubhakd,tshah1,Approved per CC#1545784.,,Mon Apr 19 17:25:00 EDT 2021,DIL HIC REAGENTS,Component 15,DIL HIC REAGENTS : Component 15,INH,>= 10.0,,uL,F
"01968265-dd3a-7ecf-97ba-98a42721ed68-019276a5-822a-7c55-8e3a-a752385b2906-123-Spec-00039784|14|15N|PEPTIDE MAPPING : Component 15|CHAR|>|-99999|||%","019276a5-822a-7c55-8e3a-a752385b2906","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-12 00:00:00.000,Spec-00039784|14|15N|PEPTIDE MAPPING : Component 15|CHAR|>|-99999|||%,Spec-00039784,"14",JNJ-61186372 160 MG/ML GEN2 SBL/CORK PPQ FORMULATED BULK (MM#310817; A3E/563475),A,SPECIFICATIONS AND JUSTIFICATION OF SPECIFICATIONS FOR JNJ-61186372 AMIVANTAMAB 160 MG/ML GEN2 SBL/CORK AND SBL-P4 PPQ AND POST-PPQ FORMULATED BULK   (GLOBAL MM#310817; A3E/563475),"16Jul2024 Mcolli34 (eLIMS global) As per LCRF:
1) For Parameter IC ENDTOX SAMPLE 5N 4T 1NC component 1, updated CoA translation to ""Dilution factor = 50x in LRW"" , and added INH limit of =50
2) For parameter IC PH MEASUREMENT 2TEXT 3N component Sample Method ID (Standard), updated INH limit to 'PH MEASUR'
",,,Mcolli34,tshah1,Reviewed/Apporved.,TV-SPEC-67179,Tue Jul 16 12:59:00 EDT 2024,PEPTIDE MAPPING,Component 15,PEPTIDE MAPPING : Component 15,CHAR,> -99999,,%,F
"01968265-dd3a-7ecf-97ba-98a42721ed68-019276a5-f13f-7ad5-9c0e-b72c5531951b-123-Spec-00039784|11|15N|PEPTIDE MAPPING : Component 15|CHAR|>|-99999|||%","019276a5-f13f-7ad5-9c0e-b72c5531951b","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-12 00:00:00.000,Spec-00039784|11|15N|PEPTIDE MAPPING : Component 15|CHAR|>|-99999|||%,Spec-00039784,"11",JNJ-61186372 160 MG/ML GEN2 SBL/CORK PPQ FORMULATED BULK (MM#310817; A3E/563475),A,SPECIFICATIONS AND JUSTIFICATION OF SPECIFICATIONS FOR JNJ-61186372 AMIVANTAMAB 160 MG/ML GEN2 SBL/CORK AND SBL-P4 PPQ AND POST-PPQ FORMULATED BULK   (GLOBAL MM#310817; A3E/563475),"23Feb2024 Mcolli34 (eLIMS Global) As per LCRF:
1)Added INH limits for parameters IC CMET BIND SAC (v1) 7N 1NC and IC BIOASSAY SAC ST1 (v1) 1LIST 13N 1NC
2) Updated Technique for all parameters
",,,Mcolli34,tshah1,Reviewed/Approved.,TV-SPEC-67179,Tue Apr 23 15:31:00 EDT 2024,PEPTIDE MAPPING,Component 15,PEPTIDE MAPPING : Component 15,CHAR,> -99999,,%,F
"01968265-dd3a-7ecf-97ba-98a42721ed68-019276a6-aa61-7de4-8382-bea385386082-123-Spec-00040113|13|15N|PEPTIDE MAPPING : Component 15|CHAR|>|-99999|||%","019276a6-aa61-7de4-8382-bea385386082","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-12 00:00:00.000,Spec-00040113|13|15N|PEPTIDE MAPPING : Component 15|CHAR|>|-99999|||%,Spec-00040113,"13",JNJ-61186372 AMIVANTAMAB SUBCUTANEOUS GEN2 PPQ AND POST-PPQ DRUG PRODUCT,A,SPECIFICATIONS AND JUSTIFICATION OF SPECIFICATIONS FOR JNJ-61186372 AMIVANTAMAB SUBCUTANEOUS GEN2 PPQ AND POST-PPQ DRUG PRODUCT - RELEASE - (SC),"MVarghee (GVW) - 17/Apr/2024 - Schaffhausen - Update of Specification report as per LCRF.
1. Added Parameter List SAMPLE DILUTION 1C.

sademosk (SC) - 19/Apr/2024 - Schaffhausen - 
2. Sequence adjusted, SAMPLE DILUTION 1C (v1) 2N 1NC moved under PEPTIDE MAPPING 1 (v1) 5N

",,,MVarghee,tlinack,LCRF,"TV-SPEC-67180, TV-SPEC-70238, TV-TEC-250649, TV-SPEC-66430, TV-SPEC-69985, TV-SPEC-54413, TV-SPEC-61505",Tue Apr 23 10:31:14 EDT 2024,PEPTIDE MAPPING,Component 15,PEPTIDE MAPPING : Component 15,CHAR,> -99999,,%,F
"01968265-dd3a-7ecf-97ba-98a42721ed68-019276a7-1298-794b-95c5-711d3cc3dc11-123-Spec-00040113|4|15N|PEPTIDE MAPPING : Component 15|CHAR|>|-99999|||%","019276a7-1298-794b-95c5-711d3cc3dc11","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-12 00:00:00.000,Spec-00040113|4|15N|PEPTIDE MAPPING : Component 15|CHAR|>|-99999|||%,Spec-00040113,"4",JNJ-61186372 AMIVANTAMAB SUBCUTANEOUS GEN2 PROCESS PERFORMANCE QUALIFICATION DP,A,SPECIFICATIONS AND JUSTIFICATION OF SPECIFICATIONS FOR JNJ-61186372 AMIVANTAMAB SUBCUTANEOUS GEN2 PROCESS PERFORMANCE QUALIFICATION DRUG PRODUCT - RELEASE,"14-Jul-2023 - RKrish50(GVW) - ETS 1939431 - Update of Specification for the addition of Parameter  list ID IC COLOR INST SAMPLE - 1NC 3TC 3T 3L.

18-Jul-2023 tlinack (SC)
1. Updated Template of COLOR OF SOLUTION 1 (v1) 3LIST from EL-SC-COLOR INSTR-1 to EL-SC-COLOR-1 (Parameter list will be used only for back-up purpose and therefore not added to the SPL)
2. Update Limit on INH and GLO limit type for CIEF (v1) 3N 1LIST 6, Component 4",,,RKrish50,nshah32,,"TV-SPEC-67180, TV-SPEC-70238, TV-TEC-250649, TV-SPEC-66430, TV-SPEC-69985, TV-SPEC-54413, TV-SPEC-61505",Wed Jul 19 15:35:21 EDT 2023,PEPTIDE MAPPING,Component 15,PEPTIDE MAPPING : Component 15,CHAR,> -99999,,%,F
