"primary_key","object_id","product_family_id","product_family_name","product_family_number","laststreameddate","itemref","study_id","batch_number","material","sample_id","manufacture_site","stability_site","analysis","measurement","itemcondition","time_point","display_result","entered_result","units","limit_type_id","coa_limit","verification_status"
"01968265-dd3a-7ecf-97ba-98a42721ed68-0196c2da-0445-712d-bbe9-b111bd01180e-123-180085231819|GLO|SPEC-00023863|2||<=|10.0||","0196c2da-0445-712d-bbe9-b111bd01180e","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-12 00:00:00.000,"180085231819|GLO|SPEC-00023863|2||<=|10.0||",Study-181251,"128388_FormC","128388_FormC","18880254",Malvern_API-L,Cork_API-L,CSDS REDUCED,AG HC,"2 - 8Â°C","3 Months","3.8","3.794",%,GLO,  <=10.0,Pass
"01968265-dd3a-7ecf-97ba-98a42721ed68-0196c2da-0445-7853-9222-3c1ba82aa38e-123-180085231817|GLO|SPEC-00023863|2||>=|90.0||","0196c2da-0445-7853-9222-3c1ba82aa38e","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-12 00:00:00.000,"180085231817|GLO|SPEC-00023863|2||>=|90.0||",Study-181251,"128388_FormC","128388_FormC","18880254",Malvern_API-L,Cork_API-L,CSDS REDUCED,Purity,"2 - 8Â°C","3 Months","95.5","95.549",%,GLO,>=90.0  ,Pass
"01968265-dd3a-7ecf-97ba-98a42721ed68-0196c2da-0445-7cf8-a98b-83717db19ae7-123-180085231815|GLO|SPEC-00023863|2||>=|90.0|<=|110.0","0196c2da-0445-7cf8-a98b-83717db19ae7","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-12 00:00:00.000,"180085231815|GLO|SPEC-00023863|2||>=|90.0|<=|110.0",Study-181251,"128388_FormC","128388_FormC","18880254",Malvern_API-L,Cork_API-L,CONTENT OD280,A280,"2 - 8Â°C","3 Months","92.9","92.904",mg/ml,GLO,>=90.0 <=110.0,Pass
"01968265-dd3a-7ecf-97ba-98a42721ed68-0196c2da-0446-7141-aa6a-88db10d0144e-123-180085231835|GLO|SPEC-00023863|2||>=|95.0||","0196c2da-0446-7141-aa6a-88db10d0144e","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-12 00:00:00.000,"180085231835|GLO|SPEC-00023863|2||>=|95.0||",Study-181251,"128388_FormC","128388_FormC","18880254",Malvern_API-L,Cork_API-L,HI HPLC,Main Peak,"2 - 8Â°C","3 Months","97.8","97.7848",%,GLO,>=95.0  ,Pass
"01968265-dd3a-7ecf-97ba-98a42721ed68-0196c2da-0446-723b-87f5-5af601a206c4-123-180085231825||SPEC-00023863|2|||||","0196c2da-0446-723b-87f5-5af601a206c4","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-12 00:00:00.000,"180085231825||SPEC-00023863|2|||||",Study-181251,"128388_FormC","128388_FormC","18880254",Malvern_API-L,Cork_API-L,CSDS NON REDUCED,Pre-IgG peak,"2 - 8Â°C","3 Months","0.7","0.701",%,"",Report result,Pass
"01968265-dd3a-7ecf-97ba-98a42721ed68-0196c2da-0446-7653-bdfa-fda7cbe68aba-123-180085231837|GLO|SPEC-00023863|2||>|-99999||","0196c2da-0446-7653-bdfa-fda7cbe68aba","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-12 00:00:00.000,"180085231837|GLO|SPEC-00023863|2||>|-99999||",Study-181251,"128388_FormC","128388_FormC","18880254",Malvern_API-L,Cork_API-L,HI HPLC,Pre-peak,"2 - 8Â°C","3 Months",<1.0,"0.1897",%,GLO,Report results,Pass
"01968265-dd3a-7ecf-97ba-98a42721ed68-0196c2da-0446-7861-81f8-98c74ff96187-123-180085231823|GLO|SPEC-00023863|2||>=|90.0||","0196c2da-0446-7861-81f8-98c74ff96187","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-12 00:00:00.000,"180085231823|GLO|SPEC-00023863|2||>=|90.0||",Study-181251,"128388_FormC","128388_FormC","18880254",Malvern_API-L,Cork_API-L,CSDS NON REDUCED,Purity,"2 - 8Â°C","3 Months","98.3","98.296",%,GLO,>=90.0  ,Pass
"01968265-dd3a-7ecf-97ba-98a42721ed68-0196c2da-0446-7a3b-bc77-99070786b700-123-180085231821|GLO|SPEC-00023863|2||In|NO NEW PEAK > 1.0% COMPARED TO REFERENCE MATERIAL||","0196c2da-0446-7a3b-bc77-99070786b700","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-12 00:00:00.000,"180085231821|GLO|SPEC-00023863|2||In|NO NEW PEAK > 1.0% COMPARED TO REFERENCE MATERIAL||",Study-181251,"128388_FormC","128388_FormC","18880254",Malvern_API-L,Cork_API-L,CSDS REDUCED,New peaks,"2 - 8Â°C","3 Months",No new peak > 1.0% compared to Reference Material,No new peak > 1.0% compared to Reference Material,,GLO,   ,Pass
"01968265-dd3a-7ecf-97ba-98a42721ed68-0196c2da-0446-7e5f-a428-119c20429e4e-123-180085231827|GLO|SPEC-00023863|2||In|NO NEW PEAK > 1.0% COMPARED TO REFERENCE MATERIAL||","0196c2da-0446-7e5f-a428-119c20429e4e","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-12 00:00:00.000,"180085231827|GLO|SPEC-00023863|2||In|NO NEW PEAK > 1.0% COMPARED TO REFERENCE MATERIAL||",Study-181251,"128388_FormC","128388_FormC","18880254",Malvern_API-L,Cork_API-L,CSDS NON REDUCED,New peaks,"2 - 8Â°C","3 Months",No new peak > 1.0% compared to Reference Material,No new peak > 1.0% compared to Reference Material,,GLO,   ,Pass
"01968265-dd3a-7ecf-97ba-98a42721ed68-0196c2da-0447-7a4f-8711-78a583cb6537-123-180085231845||SPEC-00023863|2|||||","0196c2da-0447-7a4f-8711-78a583cb6537","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-12 00:00:00.000,"180085231845||SPEC-00023863|2|||||",Study-181251,"128388_FormC","128388_FormC","18880254",Malvern_API-L,Cork_API-L,CIEF,Acidic Peak 2,"2 - 8Â°C","3 Months","4.9","4.87",%,"",Report Results,Pass
