"primary_key","object_id","product_family_id","product_family_name","product_family_number","laststreameddate","study","study_description","product_or_material_description","study_status","active","stability_study_type","protocol_number","batch_number","manufacture_date","manufacture_location","packaging_site","packaging_date","initiated_site","stability_site","start_date","shelf_life"
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-0349-721c-bfe3-d164b1321456-12-$record.itemnumber","01927d09-0349-721c-bfe3-d164b1321456","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-230359,JNJ6372 CNTO4424 DP MM#466777 Lot#NBS35 TV-TEC-255827,JNJ-61186372 SubQ Gen2 Low Volume Fill (10.0mL),A,Y,Monitoring,TEC-255827,NBS35,Tue Feb 14 00:00:00 EST 2023,"JSC (Cilag AG), LPF2, Schaffhausen, Switzerland",,,Cork_API-L,Cork_API-L,Tue Feb 14 01:00:00 EST 2023,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-0351-7af5-b12b-39b3fff35906-12-$record.itemnumber","01927d09-0351-7af5-b12b-39b3fff35906","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-202701,CNTO4424--444610--KLS1F --TV-TEC-162462--TV-FRM-49110-7-0-0194,CNTO 4424 Final Vial Product (FVP) from 15K Scale DS,C,Y,Monitoring,TV-TEC-162462,KLS1F,Wed Dec 02 00:00:00 EST 2020,Schaffhausen Pharma,,,Leiden_API-L,Leiden_API-L,Thu Dec 17 00:00:00 EST 2020,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-0356-758a-ac7f-58af0ded282c-12-$record.itemnumber","01927d09-0356-758a-ac7f-58af0ded282c","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-230098,JNJ-6372 CNTO 4424 DP TV-TEC-246901 Lot # MKS54 MM#466668,Amivantamab (JNJ-61186372) clinical 25R vial FVP high volume fill 14.0mL,A,Y,Monitoring,TEC-246901,MKS54,Wed Nov 23 00:00:00 EST 2022,Schaffhausen Pharma,,,Cork_API-L,Cork_API-L,Wed Nov 23 01:00:00 EST 2022,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-0356-7e8b-9b28-1e744c398d6d-12-$record.itemnumber","01927d09-0356-7e8b-9b28-1e744c398d6d","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-222193,JNJ6372 CNTO 4424  SubQ DP MM# 445308 Lot#MES31 TV-TEC-215651 ,JNJ-61186372 clinical FVP Low Volume Fill 10.0mL,A,Y,Monitoring,TEC-215651,MES31,Tue Nov 22 00:00:00 EST 2022,Schaffhausen Pharma,,,Cork_API-L,Cork_API-L,Tue Nov 22 01:00:00 EST 2022,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-035b-7254-925e-af04e8480a87-12-$record.itemnumber","01927d09-035b-7254-925e-af04e8480a87","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-230061,JNJ-6372  CNTO 4424 DP  TV-TEC-246902 Lot # MKS53 MM#466665,Amivantamab (JNJ-61186372) clinical 25R vial FVP low volume fill 10.0mL,A,Y,Monitoring,TEC-246902,MKS53,Wed Nov 23 00:00:00 EST 2022,Schaffhausen Pharma,,,Cork_API-L,Cork_API-L,Wed Nov 23 01:00:00 EST 2022,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-035b-7e82-aceb-30234b456a73-12-$record.itemnumber","01927d09-035b-7e82-aceb-30234b456a73","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-210828,JNJ6372 DS MM#309890 LOT#976916C TV-TEC-180527,"4424 Cork CLIN FB 8kg RTP G1 160g/L",A,Y,Monitoring,TEC-180527,"976916C",Mon Apr 26 00:00:00 EDT 2021,Cork_API-L,,,Cork_API-L,Cork_API-L,Mon Apr 26 01:00:00 EDT 2021,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-035c-7d52-a9ab-d6256b75ed0c-12-$record.itemnumber","01927d09-035c-7d52-a9ab-d6256b75ed0c","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-221408,JNJ6372 CNTO4424 SubQ (HC-Gen 1) DS MM#309890 Lot#337747C TV-TEC-180527,"4424 Cork CLIN FB 8kg RTP G1 160g/L",A,Y,Pull & Freeze,TEC-180527,"337747C",Sun Jul 24 00:00:00 EDT 2022,Cork_API-L,,,Cork_API-L,Cork_API-L,Sun Jul 24 01:00:00 EDT 2022,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-035c-7dd4-ba1c-17379173c6ac-12-$record.itemnumber","01927d09-035c-7dd4-ba1c-17379173c6ac","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-210902,JNJ6372 DS MM#309890 LOT#977136  TV-TEC-180527,"4424 Cork CLIN FB 8kg RTP G1 160g/L",A,Y,Pull & Freeze,TEC-180527,"977136C",Sun May 02 00:00:00 EDT 2021,Cork_API-L,,,Cork_API-L,Cork_API-L,Sun May 02 01:00:00 EDT 2021,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-035d-7014-b614-9ad0c4a5d122-12-$record.itemnumber","01927d09-035d-7014-b614-9ad0c4a5d122","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-220119,JNJ6372 CNTO4424 SubQ FVP MM#445308 LOT#LLS1E TV-TEC-217732,JNJ-61186372 clinical FVP Low Volume Fill 10.0mL,A,Y,Monitoring,TEC-217732,LLS1E,Wed Dec 15 00:00:00 EST 2021,Schaffhausen Pharma,,,Cork_API-L,Cork_API-L,Wed Dec 15 01:00:00 EST 2021,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-035d-7892-a54e-727669e637de-12-$record.itemnumber","01927d09-035d-7892-a54e-727669e637de","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-221315,JNJ6372 CNTO4424 SubQ (HC-Gen 1) DS MM#309890 Lot#336162C TV-TEC-180527,"4424 Cork CLIN FB 8kg RTP G1 160g/L",A,Y,Pull & Freeze,TEC-180527,"336162C",Sun Jul 10 00:00:00 EDT 2022,"Janssen Sciences Ireland UC, Cork",,,Cork_API-L,Cork_API-L,Sun Jul 10 01:00:00 EDT 2022,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-035d-78d6-ad37-4218f520ca08-12-$record.itemnumber","01927d09-035d-78d6-ad37-4218f520ca08","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-231566,JNJ6372 CNTO4424 FVP DP MM#466846 Lot#NIS29 TV-TEC-271114 ,JNJ-61186372 CLN 25R VIAL FVP,A,Y,Monitoring,TEC-271114,NIS29,Thu Sep 07 00:00:00 EDT 2023,"JSC (Cilag AG), F2P2, Schaffhausen, Switzerland",,,Cork_API-L,Cork_API-L,Thu Sep 07 01:00:00 EDT 2023,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-0364-7f54-be08-272d7fda277d-12-$record.itemnumber","01927d09-0364-7f54-be08-272d7fda277d","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-220114,JNJ6372 CNTO4424 Sub Q MM#445329 LOT#LLS1D TV-TEC-217733,JNJ-61186372 clinical FVP High Volume Fill 14.0mL,A,Y,Monitoring,TEC-217733,LLS1D,Thu Dec 09 00:00:00 EST 2021,Schaffhausen Pharma,,,Cork_API-L,Cork_API-L,Thu Dec 09 01:00:00 EST 2021,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-0366-7d88-87eb-56098658a386-12-$record.itemnumber","01927d09-0366-7d88-87eb-56098658a386","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-231017,JNJ-6372 CNTO 4424 DP TV-TEC-246901 MM#466668 Lot#NCS5I ,Amivantamab (JNJ-61186372) clinical 25R vial FVP high volume fill 14.0mL,A,Y,On-Station,TEC-246901,NCS5I,Wed Mar 22 00:00:00 EDT 2023,Schaffhausen Pharma,,,Cork_API-L,Cork_API-L,Wed Mar 22 01:00:00 EDT 2023,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-0373-7737-871f-49fecc594407-12-$record.itemnumber","01927d09-0373-7737-871f-49fecc594407","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-230690,JNJ6372 CNTO4424 DP MM#445383 Lot#NCS5J TV-TEC-236120,"JNJ-61186372 (amivantamab) SubQ Ph3, Gen2 (2000L) FVP 25R vial",A,Y,Monitoring,TEC-236120,NCS5J,Fri Mar 24 00:00:00 EDT 2023,Schaffhausen Pharma,,,Cork_API-L,Cork_API-L,Fri Mar 24 01:00:00 EDT 2023,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-0373-7a7f-88d1-0e2725c3cd36-12-$record.itemnumber","01927d09-0373-7a7f-88d1-0e2725c3cd36","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-230488,JNJ6372 CNTO4424 DP MM#445385 Lot#NBS5L TV-TEC-236121,"JNJ-61186372 (amivantamab) SubQ Ph3, Gen2 (2000L) FVP 25R vial",A,Y,Monitoring,TEC-236121,NBS5L,Wed Feb 22 00:00:00 EST 2023,Schaffhausen Pharma,,,Cork_API-L,Cork_API-L,Wed Feb 22 01:00:00 EST 2023,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-0373-7e19-9323-e4193971f780-12-$record.itemnumber","01927d09-0373-7e19-9323-e4193971f780","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-230716,JNJ6372 CNTO4424 DP MM#466770 Lot#NCS5K TV-TEC-257985,Specifications for amivantamab-SC25R FVP lead development stability batches,A,Y,Monitoring,TEC-257985,NCS5K,Fri Mar 24 00:00:00 EDT 2023,Schaffhausen Pharma,,,Cork_API-L,Cork_API-L,Fri Mar 24 01:00:00 EDT 2023,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-0377-7775-9b4e-4f0f2e97ce46-12-$record.itemnumber","01927d09-0377-7775-9b4e-4f0f2e97ce46","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-182188,CNTO4424 DS MM#309278 LOT#925426 DS-TEC-132768,JNJ-61186372,A,Y,Monitoring,TEC-132768,"925426C",Wed Sep 26 00:00:00 EDT 2018,Cork_API-L,,,Cork_API-L,Cork_API-L,Wed Sep 26 01:00:00 EDT 2018,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-0377-7a19-8068-bd5a6e5a0c97-12-$record.itemnumber","01927d09-0377-7a19-8068-bd5a6e5a0c97","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-230486,JNJ6372 CNTO4424 FVP MM#466668 Lot#NBS4R TV-TEC-246901,Amivantamab (JNJ-61186372) clinical 25R vial FVP high volume fill 14.0mL,A,Y,On-Station,TEC-246901,NBS4R,Tue Feb 14 00:00:00 EST 2023,"Schaffhausen, F2P2, Switzerland",,,Cork_API-L,Cork_API-L,Tue Feb 14 01:00:00 EST 2023,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-0379-70dd-809e-8461c7c7cb72-12-$record.itemnumber","01927d09-0379-70dd-809e-8461c7c7cb72","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-221580,JNJ-6372 CNTO 4424 Sub Q FVP MM# 445385 Lot#MGS47 TV-TEC-236121,"JNJ-61186372 (amivantamab) SubQ Ph3, Gen2 (2000L) FVP 25R vial",S,Y,On-Station,TEC-236121,MGS47,Fri Jul 29 00:00:00 EDT 2022,Schaffhausen Pharma,,,Cork_API-L,Cork_API-L,Fri Jul 29 01:00:00 EDT 2022,
