"primary_key","object_id","product_family_id","product_family_name","product_family_number","laststreameddate","itemnumber","itemname","description_of_issue","state","operating_company","segment","creation_date","escalation_lead_or_quality_rep","action_plan_or_proposed_action","highest_escalation_level_reached","user_comments"
"01966ca2-7ddd-7085-bc3d-0966f1ce7f5a-0122e7d1-19c1-49cf-af22-a61356cbc84d-1234-$record.itemRef","0122e7d1-19c1-49cf-af22-a61356cbc84d","01966ca2-7ddd-7085-bc3d-0966f1ce7f5a",CypressTC2 – Streamer Test,"1234",2025-05-13 00:00:00.000,"2230339",Level 1 CNTO1959PSA3004 TREMFYA Phase3b Risk language not included in the ICF,"Trigger for escalation:  An incorrect version (V9) of the Master ICF was used instead of the current version (V12) at that time the Master ICF was developed. The use of the incorrect version did not include the most current risk language.   The incorrect version (V9) of the ICF was used from the beginning of the trial (first patient dosed 01July2021) therefore, subjects were not informed of the most current risk language.  Currently, there are 562 subjects enrolled at 144 sites.

Background Information:
On 07February2023, a review of the South Korean ICF (Informed Consent Form) was conducted by the study scientist Karen Bensley. During the review, the scientist noticed that the risk language from version 9 ( 31July2018) was used in the Master ICF. However, at the time of Master ICF development for this study (CNTO1959PSA3004), version 12   was the current version that should have been used (20 December 2019). 

The following are examples of the risk language, that was not included in the ICF when patients were consented: 
-common risk: Increased level of liver enzymes in the blood (transaminases)
-uncommon risk: Decreased number of a type of white blood cell (neutrophils)
-Herpes simplex infections, which may appear as blisters or sores on the lips (cold sores) or genitals (genital herpes), Fungal skin infections (for example athlete’s foot), Gastroenteritis (an infection of the stomach and/or intestine).

In addition, there were risks descriptions that were not up to date:  Injection site reactions (redness, pain, bruising, swelling, itching, hardness, skin irritation, bleeding and/or rash at the place where the injection is given), Serious allergic reactions (including anaphylaxis), which may appear as hives, swollen face, lips, mouth, tongue or throat, difficulty swallowing or breathing, low blood pressure or lightheadedness.   
Immediate actions:
-The Master ICF is being updated to include the correct risk language for submission to the EC’s/IRB for approval. (date TBD)
-The clinical team will notify the investigator sites by memo   of this issue and provide details on how to verbally inform patients while the Master ICF is pending approval from the ECs/IRB. (date TBD)
-All subjects currently enrolled in the trial will be reconsented with the full ICF amendment at their next scheduled visit after EC/IRB approval. For subject’s who are planning to dose at home, a phone call will be scheduled set up to inform the subject of the updated risk language before their next planned IP administration day and document the call in the source. .",Closed,Janssen Pharmaceutical,Pharma - R&D,2023-02-21 15:02:21.000,"PATEL, BHAVESH",Additional actions to be determine.  Pending investigation completion.,No Subsequent Escalation,
"01966ca2-7ddd-7085-bc3d-0966f1ce7f5a-018e62be-dcc9-79e2-9e71-116c7820bba4-1234-$record.itemRef","018e62be-dcc9-79e2-9e71-116c7820bba4","01966ca2-7ddd-7085-bc3d-0966f1ce7f5a",CypressTC2 – Streamer Test,"1234",2025-05-13 00:00:00.000,"2360730",Level 2 - Dosing error_UK_ 64407564MMY1004 (TAL-2): Patient received the wrong dose of IP which resulted in an overdose,"Overdose error of step up dose for study 64407564MMY1004 (TAL-2) that occurred at site V01-GB10004 (Churchill Hospital, Oxford) on 12Mar2024.  

The Research Nurse selected the wrong strength of vial in IWRS in that 40 mg/ml was selected instead of 2 mg/ml. This resulted in a 20x overdose. The error occurred on C1D16 where Patient 200178 should have received 10 ug/kg as per the dosing confirmation approved by the global team. The Aseptic Unit at the site prepared the study IP and labelled it as Talquetamab 710 ug in 0.39ml which was the dose the patient should have received. The actual dose the patient got based on the vial selected was 14,400 ug. 

The Research Nurse also reported that the patient had a rise in temperature on 13Mar2024. As per the Principal Investigator, the patient's symptoms post dose were classified as grade 1 CRS which is consistent with a patient who had received SU1 of Talquetamab.",Closed,Janssen Pharmaceutical,Pharma - R&D,2024-03-20 15:22:05.000,"DALTON, PATRICK","Quality investigation NC-005757 has been initiated to determine root cause and corrective actions. Site to continue conducting internal investigations to determine the root cause and CAPA actions for the dosing error.  Site to provide requested documentation (SOPs, checklists, etc.) to the Janssen study team for review. 

The PI further explained that investigations are ongoing by the pharmacy and clinical team. PI continues to work with the clinical team to care for the patient who remains well as of 20Mar2024. As noted, the patient had a spike in temperature on13Mar2024 (37.8 .C). The patient was prescribed antibiotics, which were discontinued the following day. Symptoms post dose were classified as grade 1 CRS which is consistent with a patient who has received SU1 of Talquetamab and the patient was not neutropenic. 

Patient 200178 was informed of the error; understands and wants to remain on the study. Patient has had Talquetamab SU2 and SU3 dosing. The PI stated that the patient was still hospitalized as per protocol following SU3.",No Subsequent Escalation,
"01966ca2-7ddd-7085-bc3d-0966f1ce7f5a-018ec3ee-6afc-758b-89ff-ecf3791d3e1e-1234-$record.itemRef","018ec3ee-6afc-758b-89ff-ecf3791d3e1e","01966ca2-7ddd-7085-bc3d-0966f1ce7f5a",CypressTC2 – Streamer Test,"1234",2025-05-13 00:00:00.000,"2362768",Level 1 - Unauthorized disclosure of J&J confidential information on local registry sites,"Executive Summary

Unauthorized information about the Investigational Medicinal Product (IMP) dosage have been disclosed in by Parexel initiation Clinical Research Associate (iCRA) team to local registries in the Netherlands, South Africa, and Switzerland. This concerns 78934804CRD2001 (DUET-CD) and 78934804UCO2001 (DUET-UC).

This is an unauthorized disclosure of J&J’s confidential information managed by a supplier. This could impact patent protection and result in potential economic harm to J&J.

Parexel will check all countries to ensure no other registries have disclosed sensitive information. Parexel will follow up with local registries to remove confidential information. Refer to full description in the Proposed Actions/Next Steps section.

Additional Details: 
11Apr2023: DUET-CD and DUET-UC were approved on the South African National Clinical Trial Registry.

07Aug2023 – 20Mar2024: 
•	IDAR Registry team informed patent lawyer and Global Trial Leader (GTL) of sensitive dosing information posted on local registries. 
•	GTL reached out to Parexel regarding the Project Outsourcing Manual (POM) process not being followed.
•	A quality investigation was not initiated as Parexel could not recreate the ability to see the South Africa info on their side and the J&J team did not have the awareness of the implications to ensure that patent lawyer advice was received.
•	Discussions transpired between J&J Global Program Leader (GPL) and Parexel Leadership to understand scope and impact of sensitive dosing information being disclosed. 

21Mar2024: Parexel preliminary investigation noted that the Investigational Medicinal Product (IMP) dosage have been disclosed potential impact across local registries in the Netherlands, South Africa, and Switzerland.

29Mar2024 - 4Apr2024: Cross functional team including CRM, legal, IDAR and Operations determined issue met triage escalation criteria under TV-POL-00857 and SQI criteria under TV-SOP-25014.",Closed,Janssen Pharmaceutical,Pharma - R&D,2024-04-04 18:57:53.000,"NYEMSCEK, EILEEN","Initial Parexel QI indicated that:
•	Parexel will check all EMEA countries where public registries were completed by Parexel iCRA to ensure no other registries have disclosed sensitive information.
•	Parexel will follow up with local registries to remove confidential information.

Additional actions may be identified subsequent to the investigation.",No Subsequent Escalation,
"01966ca2-7ddd-7085-bc3d-0966f1ce7f5a-018ec917-0be8-7b37-8035-3c0262fff2b7-1234-$record.itemRef","018ec917-0be8-7b37-8035-3c0262fff2b7","01966ca2-7ddd-7085-bc3d-0966f1ce7f5a",CypressTC2 – Streamer Test,"1234",2025-05-13 00:00:00.000,"2363233","64281802DNG2004_CO10004_Hematology tests not done-at visit day 50","Trigger for Escalation: Hematology test at site CO10004 were not done at visit day 50. This may have affected 90 Household Contacts (HHCs). 

This study has 4 sequential phases: DENV-infected index case (IC) identification, screening of the household contacts (HHCs) which may include family members, acquaintances, co-workers, and community contacts of the IC, double-blind prophylactic dosing of HHCs, and a follow-up phase. 

The HHCs are treated for 28 days. Hematology safety samples are part of the secondary endpoints of the protocol to assess the safety and tolerability of 2 dose regimens (high and low) of JNJ-64281802 among HHC.  They are to be collected on protocol visits Day 1, Day 13, Day 28 and Day 50. Based on the RAVE reports pulled on 12 Mar 2024 no other hematology samples were collected for visits after Day 28. Participants were not invited to go back to the site to collect day 50 hematology.

Additional information is needed to assess if there is a potential impact to study participant safety.  Upon investigation if determination is made that there is a safety impact, there will be a re-assessment for potential significant escalation.

24Apr2024:  Meeting with the Global Trial Leader, Global Program Leader and Medical Leader to discuss status of safety impact assessment.  It was confirmed that the full investigation into root cause of issue and potential CAPAs is still underway by IQVIA; however, the J&J Medical Leader has indicated that there is no identified safety impact for the patients based on review.  Based on overall review of the study, this issue related to missed hematology samples is isolated to primarily 1 site in the trial.  Ongoing oversight will be occurring with IQVIA to ensure complete investigation and CAPAs implemented to avoid re-occurrence.",Closed,Janssen Pharmaceutical,Pharma - R&D,2024-04-09 09:22:20.000,"NIZNIK, MICHELLE","CA#1: CRA retrained site staff on hematology samples collection datapoints on 08Mar2024 and training log to be collected on 21MAR24 for filing in ISF and eTMF.
CA#2: Data Analytics team flagged missing hematology/urine/chemistry samples. On 20Mar2024 PL, CL, gTMA, and CML met with DM team and agree to immediately raise manual queries asking site to either enter them in RAVE or inform they were not done.
PA#1: Lesson Learned training for CRAs (during Global CRA meeting)
PA#2: Lesson Learned training for Sites (Feb 2024 newsletter and Site Engagement Call)
Janssen will discuss with IQVIA the possibility to bring back the participants for a final hematology sample (tbc).",No Subsequent Escalation,
"01966ca2-7ddd-7085-bc3d-0966f1ce7f5a-018ed883-c1d1-708a-a79d-0cb6954df0a0-1234-$record.itemRef","018ed883-c1d1-708a-a79d-0cb6954df0a0","01966ca2-7ddd-7085-bc3d-0966f1ce7f5a",CypressTC2 – Streamer Test,"1234",2025-05-13 00:00:00.000,"2363822",Critical GCP Audit Observation - Lack of Principal Investigator (PI) Oversight  Protocol 17000139BLC3001 (TAR-200),"Janssen (Pharmaceutical Companies of Johnson & Johnson) Research and Development (R&D) Quality conducted a routine onsite Clinical Investigator Site Audit of Dr. Lopez Chuken, Yamil,  protocol 17000139BLC3001, site S71-MX10004. The audit was performed in Monterrey, Mexico on 12-14 Mar 2024.

The auditor noted significant non-compliances at the site resulting in a Critical Observation focused on lack of Principal Investigator (PI) oversight resulting in several issues related to delegation, training, ICF, filing/ study documents review, compliance with local Ethics Committee PD and SUSAR submission timelines, SUSAR reviews and IP.

Background
The Study 17000139BLC3001 is a phase 3 study, to assess the efficacy of TAR-200 in combination with Cetrelimab versus concurrent Chemoradiotherapy in participants with Muscle-invasive urothelial carcinoma (MIBC) of the bladder who are not receiving radical cystectomy. 

The audited Site S71-MX10004 was opened on 25Nov21 and has screened 21 participants starting 08Apr22 (first subject screened), and has enrolled 10 participants. 

Issue description 
•	The site staff, including study coordinators, pharmacists, sub-investigators, and nurses, were performing study procedures without the required study training. The pharmacist did not have the necessary credentials, and there were errors in the preparation and administration of investigational products including the usage of outdated forms. 
•	Delays occurred in obtaining reconsent from study participants for multiple versions for several months, and there were issues with documentation process. 
•	Delegation log was updated after the announcement of the audit, with numerous changes without evidence of training in some cases.
•	Urological procedures were performed by partner institutions, leading to concerns about data completeness since only summaries are provided and not the original source. 
•	Protocol deviations and safety reports were not handled according to required timelines outlined by their local Ethics Committee. 
•	There were delays in reviewing study documents and SUSAR (instances were reviewed 1 year later), and not all necessary training was completed in a timely manner. 
•	Site uses a platform with username and password for the generation of source documents, which they print and sign for the medical chart, with no procedure to explain how it should be handled. During the audit, access or over the shoulder view was not provided to the auditor to establish if it is an electronic medical records (EMR) system or not.",Closed,Janssen Pharmaceutical,Pharma - R&D,2024-04-12 16:28:40.000,"MALTESE, PHILIP",Investigate audit observation,No Subsequent Escalation,
"01966ca2-7ddd-7085-bc3d-0966f1ce7f5a-01927335-aa13-7857-8944-76e09ee961e0-1234-$record.itemRef","01927335-aa13-7857-8944-76e09ee961e0","01966ca2-7ddd-7085-bc3d-0966f1ce7f5a",CypressTC2 – Streamer Test,"1234",2025-05-13 00:00:00.000,"2367403","Level 1 - CNTO1959UCO3001, Site HU10007: Inadequate Mayo Diary completion","Site HU10007 did not properly retain source documentation for most of the patient visits to support Mayo patient diary data.

Per Site Manager (SM) source data review (SDR) on 14Feb2024 at site HU10007, it appeared that the Mayo Patient Diary Cards for patient 100893 may have been completed by the Sub-Investigator (SI) instead of by the patient as the date in the header looked like the SI’s handwriting. 

According to SI interview on 29Apr2024, patients brought their notes to the clinic which were used for Mayo diary completion. These patient notes were not retained at the site after the data were transcribed to the Diary Card and eCRF. 

Per protocol, Mayo Diaries should be completed by the patients at home before the study visits. These data are used to calculate the Mayo score which informs various endpoints.

There is a potential impact on data integrity as the data entered into eCRF cannot be verified against original patient source. 

An internal routine site audit was planned for FUZION (CNTO1959CRD3005) as this is a high enroller and was extended to include QUASAR (CNTO1959UCO3001) to focus on this issue. This audit is planned for 08-12Jul2024.

Additional Details: 
At site HU10007, 11 patients were enrolled, 6 early terminated, 1 completed, and 4 are ongoing in the long-term extension. A total of 1064 patients were enrolled in the QUASAR study.

Potential issue was initially identified in February 2024 as a result of a new SM conducting a routine monitoring visit.  Additional monitoring visits were conducted by the local GCO team from March to April 2024.  The date in the header of the diary card might be the handwriting of the SI for approximately 135 of 208 (65%) visits. Since the training in Feb 2024, the site has improved their GCP documentation practices.

Risk assessment discussed with central team on 07-08May2024. No impact to patient safety and overall study level data integrity impact is low as there are 10 of 11 affected subjects at this site out of 1064 total subjects in the study.",Closed,Janssen Pharmaceutical,Pharma - R&D,2024-05-09 16:39:13.000,"NYEMSCEK, EILEEN","Communication of the potential site data integrity issue to Heath Authorities and Ethics Committee.
An internal site audit is planned for 08-12Jul2024. 
Additional actions may be identified subsequent to the investigation.",No Subsequent Escalation,
"01966ca2-7ddd-7085-bc3d-0966f1ce7f5a-01927335-aa13-7a67-96df-54a9aa614ff6-1234-$record.itemRef","01927335-aa13-7a67-96df-54a9aa614ff6","01966ca2-7ddd-7085-bc3d-0966f1ce7f5a",CypressTC2 – Streamer Test,"1234",2025-05-13 00:00:00.000,"2367821",Nipocalimab (Process 3.0) Unprocessed Signal Peptide,"During cell line selection done by Wuxi and process development, no signal peptide was identified. A small peak observed by intact mass analysis was reported as diglycated variant based on molecular mass match.  Recently, during extensive characterization of representative DS, uSP HC (VHS) was detected in nipocalimab Process 3.0 (2-4% in GMP and PPQ batches) not present in previous cell line material (Process 2.0).",Closed,Janssen Pharmaceutical,Pharma - R&D,2024-05-14 18:19:38.000,"Akuwudike, Sylvia","Process robustness data reanalysis in progress, assessment to complete by 31May2024. 
In silico immunogenicity assessment of HC with uSP pending, report expected by 17May2024. Immunogenicity analyses from the Phase 1 BE Study are pending, report expected 31May2024.",No Subsequent Escalation,
"01966ca2-7ddd-7085-bc3d-0966f1ce7f5a-01927335-aa14-71dc-876c-4d593477eb76-1234-$record.itemRef","01927335-aa14-71dc-876c-4d593477eb76","01966ca2-7ddd-7085-bc3d-0966f1ce7f5a",CypressTC2 – Streamer Test,"1234",2025-05-13 00:00:00.000,"2368585",Level 2:  VAC52416BAC3001 Misconduct at Site T30-US10207,"An investigational site in the VAC52416BAC3001 (Embrace) trial identified potential misconduct by one of the study coordinators at the site of Dr. Michael Consolo.   An internal audit was conducted at Inland Urology by Folio Clinical Research to investigate concerns identified.   Folio is a subsidiary of Atlas Urology and has a management services agreement with Inland Urology to conduct clinical research together.  The investigation revealed evidence suggesting embezzlement, forgery of patient signatures, and falsification of study documents, indicating a breach of trust and ethical standards within the clinical trial. 

Key Findings of review by Folio Clinical Research: 
•	Study Coordinator is suspected of misappropriating funds intended for Embrace study participants
•	Identification of discrepancies between allocated patient stipend funds and actual study activities
•	Evidence that study coordinator forged signatures and fabricated data on Case Report Forms and falsely indicating participation of individuals not actually enrolled in the study 
•	Blood and Urine samples were collected for participants identified as not participating into the trial.  Investigation needed to assess how and from who these samples were obtained.
•	Information received suggests that Investigational product was prepared for each of the 62 enrolled participants.  Investigation needed on what occurred with the IP prepared.   
•	To date 24 of 28 participants contacted have confirmed they are not enrolled in the study (potentially 50 participants impacted) 

Folio Clinical Research is continuing to contact each of the 62 participants identified as being enrolled in the clinical trial to assess if they signed a consent form or undergone any study assessments.   

The J&J clinical team to investigate the oversight of the clinical trial by the Principal Investigator and Sub-Investigators and conduct impact assessment.  This site is part of a health network of 5 total sites that is participating in the Embrace trial.  All 5 sites will be put on screening hold during investigation.",Closed,Janssen Pharmaceutical,Pharma - R&D,2024-05-21 12:45:14.000,"NIZNIK, MICHELLE","Sponsor and CRO Plan of Action
•	Assess trials that the coordinator has been involved.
•	Implement quality investigation on impact to data and patient safety and oversight of PI / Sub-I’s
•	Implement screening hold for the 5 sites in the health network
•	Assess reporting of site to FDA 

Site Remediation Plan (prior to discussion with Sponsor and CRO):
•	Folio will continue to reach out to all Embrace study participants to assess enrollment into the study 
•	Folio will further evaluate disposition of IP and review accountability records
•	Enhanced Training and Oversight Comprehensive training sessions for Principal Investigators (PIs) and Sub-Investigators (Sub-Is) on their supervisory roles and responsibilities. 
•	Research misconduct training for all Folio staff.
•	Implementation of monthly audits to monitor patient stipend activity and ensure compliance with funding protocols. 
•	Reporting and Disclosure Prompt notification to the Institutional Review Board (IRB) regarding the findings of the investigation, in accordance with regulatory requirements. 
•	Folio is assessing the extent to which patient personal information has been disclosed without authorization in anticipation of notifying participants and regulators, as needed. 
•	Folio and Inland MDs are prepared to collaborate with the Janssen and Icon teams to complete the investigation and remedy all issues identified.",No Subsequent Escalation,
"01966ca2-7ddd-7085-bc3d-0966f1ce7f5a-01927335-aa14-786a-882e-8128ee559cab-1234-$record.itemRef","01927335-aa14-786a-882e-8128ee559cab","01966ca2-7ddd-7085-bc3d-0966f1ce7f5a",CypressTC2 – Streamer Test,"1234",2025-05-13 00:00:00.000,"2367814",Exclusion of Published Articles in Literature Source ICSRs to the US FDA,"Trigger(s) for escalation:
- Communication to US FDA of a significant compliance issue related to non-compliance with FDA 21 CFR .314.80 2002 US FDA Guidance on Post Market Reporting “(d) Scientific literature. (1) A 15-day Alert report based on information from the scientific literature is required to be accompanied by a copy of the published article”. There has been a systemic failure to provide a copy of the published articles to the US FDA for multiple products, between Dec-2020 and Jan-2024.

On 19-Dec-2023, a Quality Investigation (2340273) was opened following identification by the Global Safety Reporting (GSR) team (within Global Medical Safety) that literature articles were excluded from individual case safety report (ICSR) submissions to the US FDA. On investigating, it was identified that the issue started when the submissions to US FDA were automated in PRISM (the Global Safety Database (GSD)) in Dec-2020. During the QI phase, the reporting rule logic within the GSD was updated to remediate the issue on 23-Jan-2024. The GSR team requested a case listing to determine the retrospective impact. Provisional numbers are ~18,000 ICSRs that would require manual review to determine if articles were available for submission in the GSD. Further analysis is required on the impacted products, case type, and any potentially impacted Kenvue cases.

On 13-May-2024, the Escalation Lead was informed of the decision to proactively notify the US FDA, which is expected to be sent by 24-May-2024.

Impact is limited to the US FDA. There is no impact to patient safety or to the benefit risk profiles of the products impacted. Impact on regulatory compliance is significant, give then the high number of provisionally impacted cases.",Closed,Janssen Pharmaceutical,Pharma - R&D,2024-05-14 16:57:31.000,"CHAHAL, AMIT",Draft HA Communication and notify US FDA,No Subsequent Escalation,
"01966ca2-7ddd-7085-bc3d-0966f1ce7f5a-01927335-aa17-7b11-9af2-075c6aabc550-1234-$record.itemRef","01927335-aa17-7b11-9af2-075c6aabc550","01966ca2-7ddd-7085-bc3d-0966f1ce7f5a",CypressTC2 – Streamer Test,"1234",2025-05-13 00:00:00.000,"2370370",Missed Health Authority Commitment from Major Observation: Slovakia (SUKL) GCP Site Inspection (CNTO1959CRD3001),"Health Authority commitment associated with the clinical investigator site inspection Major observation by the Slovakia Health Authority (SUKL) was not met by the due date (31 May 2024).  The following action associated with a sub-part of the the observation was 
 
Finding 7. Process for obtaining subject consent
Sub-Part 7. Informed consent of caregivers for inclusion in the Clinical Trial; (administration of the IMP at home and the related training, accompanying participants during visits for video Ileo-colonoscopy) in the case of Clinical Trial participants no. 102029 and 102108.
Corrective Action Details:
-Prepare a country ICF for caregiver (based on study model provided) and CRA to implement it in all sites once approved by IEC and Regulatory. 

Considering that Study is under transition to EU-Clinical Trial Regulation (CTR) and there will be no ICF update until EU-CTR approval, the action as initially described it is not possible to be completed within the initial due date, as a result the target completion date for this action is 31 Dec 2024.",Closed,Janssen Pharmaceutical,Pharma - R&D,2024-06-03 20:20:33.000,"MALTESE, PHILIP","In addition, the following action was taken to prevent recurrence of the issue while pending EU CTR Transition:


The following action was completed in order to mitigate the originally identified observation: 
Action Description: Part 7 of the finding: CRA will alert the sites in Slovakia to not allow a caregiver to do tasks (other than accompanying the subject to the study site) before the ICF is signed
Action Due Date: 31-Jan-2024
Action Completed Date: 26-Jan-2024
Action Completion Comments: CRA alerted sites in Slovakia to not allow a caregiver to do tasks (other than accompanying the subject to the study site) before the ICF is signed. Both sites were alerted by email sent on 26 January 2024. Requirement was discussed with site SK10002 during the MV on 10Jan24 and discussion is documented in MVR: VV-TMF-6250204",No Subsequent Escalation,
